#WL	Real	Imag
107.8000	1.3617	1.4898
110.7000	1.3515	1.4637
113.7000	1.3248	1.4336
117.0000	1.2866	1.4168
120.4000	1.2494	1.4123
124.0000	1.2175	1.4098
127.8000	1.1901	1.3912
134.8000	1.0946	1.3002
137.8000	1.0155	1.2685
140.9000	0.9196	1.2521
144.2000	0.8138	1.2468
147.6000	0.6929	1.2590
151.2000	0.5596	1.2969
155.0000	0.4270	1.3583
159.0000	0.2907	1.4476
163.1000	0.1820	1.5558
167.5000	0.0804	1.6698
172.2000	-0.0170	1.7917
177.1000	-0.1119	1.9251
182.3000	-0.2059	2.0737
187.9000	-0.2869	2.2487
193.7000	-0.3356	2.4261
196.8000	-0.3658	2.5362
200.0000	-0.3884	2.6586
203.3000	-0.3820	2.7670
206.6000	-0.3473	2.8575
213.8000	-0.2882	3.0263
221.4000	-0.2307	3.1408
229.6000	-0.1835	3.2436
238.4000	-0.1687	3.3649
248.0000	-0.1377	3.5046
253.0000	-0.0801	3.5640
258.3000	-0.0189	3.6261
263.8000	0.0599	3.7044
269.5000	0.2023	3.7346
275.5000	0.3604	3.7754
281.8000	0.5910	3.7195
288.3000	0.8399	3.5748
295.2000	1.1410	3.2810
298.8000	1.3324	3.0196
302.4000	1.4601	2.6389
306.1000	1.4639	2.1938
310.0000	1.3317	1.7120
311.5000	1.2091	1.4603
313.9000	1.0286	1.2409
315.5000	0.8257	1.0732
317.9000	0.6146	0.9395
319.5000	0.3875	0.8574
322.0000	0.1820	0.8000
323.7000	0.0086	0.7503
326.3000	-0.1629	0.6975
330.6000	-0.5233	0.6032
332.4000	-0.7106	0.5791
335.1000	-0.8858	0.5798
339.7000	-1.1873	0.5802
344.4000	-1.4810	0.5902
354.2000	-2.0299	0.6019
364.7000	-2.5575	0.5989
375.7000	-2.7489	0.6680
387.5000	-3.2392	0.6950
400.0000	-3.7726	0.6747
413.3000	-4.4222	0.7301
427.5000	-5.0820	0.7232
442.8000	-5.7354	0.7536
459.2000	-6.5329	0.7373
476.9000	-7.3810	0.7181
495.9000	-8.2775	0.7488
516.6000	-9.4080	0.7982
539.1000	-10.5459	0.8385
563.6000	-11.8881	0.8280
590.4000	-13.3810	0.8857
619.9000	-15.0372	1.0166
652.6000	-17.2029	1.1620
688.8000	-19.6940	1.2432
729.3000	-22.4457	1.4030
774.9000	-25.8877	1.4557
826.6000	-30.2290	1.5950
885.6000	-35.3759	1.9397
953.7000	-41.3057	2.5463
1033.0000	-48.8090	3.1595
1127.0000	-58.7659	3.8503
1240.0000	-71.9719	5.5864
1265.0000	-60.3878	5.8350
1291.0000	-62.5797	6.0667
1305.0000	-79.9743	6.4082
1319.0000	-64.8099	6.3190
1348.0000	-67.2433	6.5844
1378.0000	-69.8880	6.8801
1378.0000	-89.7136	7.5082
1409.0000	-69.8797	7.0475
1442.0000	-75.5042	7.4994
1459.0000	-101.8111	9.0092
1476.0000	-78.6590	7.8499
1512.0000	-82.2394	8.2628
1550.0000	-86.6424	8.7422
1550.0000	-116.3758	11.1024
1590.0000	-91.3497	9.2829
1631.0000	-96.5746	9.8597
1653.0000	-131.8606	14.3520
1675.0000	-101.7406	10.4838
1722.0000	-107.8716	11.1696
1771.0000	-114.1798	11.9198
1771.0000	-148.1277	20.5936
1823.0000	-122.8759	12.8316
1879.0000	-129.6000	13.6800
1907.0000	-176.1279	23.2218
1937.0000	-138.8506	14.7264
2000.0000	-148.4175	15.8600
2066.0000	-158.3138	16.8336
2066.0000	-206.2279	30.6432
2138.0000	-168.4686	18.9540
2214.0000	-181.6509	20.8980
2296.0000	-195.3227	23.0440
2384.0000	-209.4791	25.4620
2480.0000	-227.1283	28.3578
2583.0000	-245.4760	31.6198
2695.0000	-267.7871	35.5224
2818.0000	-291.0458	39.9456
2952.0000	-318.8098	45.2870
3100.0000	-351.5162	52.1512
3263.0000	-389.6807	60.8256
3444.0000	-433.8859	71.4780
3647.0000	-484.7428	84.6430
3875.0000	-547.5844	101.5200
4133.0000	-624.0271	122.7892
4428.0000	-715.8482	149.8868
4769.0000	-830.7472	185.7160
5166.0000	-965.7622	233.6232
5636.0000	-1136.4194	300.9000
6199.0000	-1340.3240	396.2700
6526.0000	-1454.4384	460.1120
6888.0000	-1587.6711	538.9360
7293.0000	-1750.5835	634.1850
7749.0000	-1936.8826	750.4896
8266.0000	-2129.2775	889.3422
8856.0000	-2326.0839	1056.1720
9537.0000	-2575.7559	1274.7240
9919.0000	-2711.8179	1408.0140
