#wavelength	Real	Imag	
746.9	13.957615	0.067248
756	13.897903	0.067104
765.3	13.845777	0.059536
774.9	13.793732	0.059424
784.7	13.726976	0.05187
794.8	13.66776	0.051758
805.1	13.601308	0.044256
815.7	13.549725	0.044172
826.6	13.490904	0.03673
968.6	13.00859475	0.004616631
984	12.95681319	0.003671549
999.9	12.9034587	0.002873711
1016	12.84954523	0.002007391
1033	12.79274043	0.00128761
1051	12.73273131	0.000856391
1069	12.67286325	0.000477026
1088	12.60982224	0.000298287
1107	12.54693842	0.000177108
1120	12.50400321	0.000121642
1127	12.49039293	9.18886E-05
1144	12.45737025	5.06231E-05
1148	12.4522278	4.09337E-05
1170	12.42396327	1.05743E-05
1200	12.38547249	1.03532E-05
1372	12.25490049	9.13077E-06
1400	12.16335376	8.90722E-06
1532	12.09926656	7.99332E-06
1600	12.047841	7.51859E-06
1696	12.00206736	6.85933E-06
1800	11.95638084	6.14888E-06
2000	11.895601	4.79553E-06
2437.3	11.85700356	1.8676E-06
2500	11.85011776	1.44849E-06
2714.4	11.82878449	1.71965E-08
3000	11.80678321	3.61639E-08
3303.3	11.78892225	5.62811E-08
3418.8	11.78342929	6.39375E-08
3500	11.77931041	6.93173E-08
3800	11.76819303	8.91925E-08
4000	11.76078436	3.01787E-07
5000	11.73816121	1.36359E-06
5128	11.73649481	1.56219E-06
5263	11.73473742	2.03481E-06
5405	11.73288903	2.23332E-06
5556	11.73092366	2.69893E-06
5714	11.72886736	2.77404E-06
5882	11.7266811	2.85597E-06
6000	11.72514564	2.91307E-06
